行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,建坪,房屋總價,單價,房,廳,衛,車位數量,是否加蓋,房屋類型_公寓,房屋類型_大樓,房屋類型_華廈,房屋類型_透天,緯度,經度,成交年月
1,0,0,0,0,0,0,0,0,0,0,0,5.87,0,54.89,0,0,0,0,0,1,0,0,0,25.067854,121.526186,11408
1,0,0,0,0,0,0,0,0,0,0,0,1.94,0,69.66,0,0,0,0,0,0,0,1,0,25.060474,121.528031,11407
1,0,0,0,0,0,0,0,0,0,0,0,2.79,0,125.22,0,0,0,0,0,0,1,0,0,25.065054,121.523705,11407
1,0,0,0,0,0,0,0,0,0,0,0,1.0,0,76.77,0,0,0,0,0,0,1,0,0,25.063664,121.528022,11407
1,0,0,0,0,0,0,0,0,0,0,0,1.34,0,78.89,0,0,0,0,0,0,1,0,0,25.061237,121.525652,11407
1,0,0,0,0,0,0,0,0,0,0,0,1.75,0,72.41,0,0,0,0,0,1,0,0,0,25.067846,121.526582,11407
1,0,0,0,0,0,0,0,0,0,0,0,1.3,0,76.76,0,0,0,0,0,0,1,0,0,25.061118,121.525723,11407
1,0,0,0,0,0,0,0,0,0,0,0,4.27,0,66.99,0,0,0,0,0,1,0,0,0,25.059495,121.529664,11407
1,0,0,0,0,0,0,0,0,0,0,0,1.4,0,71.65,0,0,0,0,0,0,0,1,0,25.060563,121.525788,11407
1,0,0,0,0,0,0,0,0,0,0,0,2.74,0,68.1,0,0,0,0,0,0,0,1,0,25.067477,121.525927,11407
1,0,0,0,0,0,0,0,0,0,0,0,9.2,0,82.66,0,0,0,0,0,0,0,1,0,25.058391,121.538013,11407
1,0,0,0,0,0,0,0,0,0,0,0,11.13,0,80.71,0,0,0,0,0,1,0,0,0,25.067821,121.539027,11407
1,0,0,0,0,0,0,0,0,0,0,0,0.44,0,75.72,0,0,0,0,0,0,1,0,0,25.065054,121.523705,11407
