路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市大同區承德路一段,44.3年,辦公/大樓,建坪 40.84,主建物32.76,1衛3室,12樓/12樓,"4,900",0
台北市大同區天水路,43.7年,大樓,建坪 24.95,主 + 陽17.8,2房2廳1衛,10樓/11樓,"2,250",0
台北市大同區承德路一段,44.3年,辦公/大樓,建坪 12.66,主建物10.15,1衛1室,12樓/12樓,"1,520",0
台北市大同區延平北路三段,47.5年,公寓,建坪 30.39,主 + 陽30.39,4房3廳2衛1室(含加蓋1房1廳1衛1室),4樓/4樓,"1,888",0
台北市大同區赤峰街,14.0年,華廈,建坪 21.3,主 + 陽8.56,2房1廳1衛(含加蓋1房),6樓/7樓,"2,688",1
台北市大同區延平北路四段,51.7年,店面,建坪 25.87,主建物20.67,1廳1衛,1樓/4樓,"3,980",0
台北市大同區迪化街二段,54.6年,公寓,建坪 13.44,主建物13.44,2房1廳1衛1室,4樓/4樓,898,0
台北市大同區南京西路,2.8年,店面,建坪 62.59,主建物22.75,1廳1衛,1樓/12樓,"8,888",0
台北市大同區重慶北路二段,0.9年,大樓,建坪 44.5,主 + 陽22.85,3房2廳2衛,11樓/15樓,"4,600",1
台北市大同區環河北路二段,48.8年,公寓,建坪 35.04,主 + 陽35.04,5房2廳2衛,2樓/4樓,"2,588",0
台北市大同區太原路,31.6年,華廈,建坪 42.39,主 + 陽25.75,3房2廳2衛,10樓/10樓,"3,668",1
台北市大同區延平北路二段,48.6年,辦公,建坪 19.84,主建物15.68,1廳1衛1室,2樓/10樓,"1,620",0
台北市大同區民樂街,51.6年,公寓,建坪 16.94,主 + 陽16.94,2房1廳1衛1室(含加蓋1室),2樓/4樓,"1,450",0
台北市大同區重慶北路三段,48.1年,公寓,建坪 21.76,主 + 陽21.76,2房2廳1衛,3樓/4樓,"1,698",0
台北市大同區延平北路三段,42.5年,店面,建坪 35.71,主建物14.47,3廳1衛1室(含加蓋2廳1室),1樓/7樓,"5,660",0
台北市大同區寧夏路,14.3年,大樓,建坪 18.77,主 + 陽9.14,2房1廳1衛(含加蓋1房),9樓/13樓,"1,668",1
台北市大同區長安西路,19.4年,店面/辦公/大樓,建坪 48.41,主 + 陽18.59,2廳1衛,1樓/14樓,"7,690",7
台北市大同區重慶北路三段,11.8年,大樓,建坪 18.77,主 + 陽9.6,2房1廳1衛(含加蓋1房),7樓/12樓,"1,988",1
台北市大同區承德路三段,17.3年,店面/華廈,建坪 64.94,主 + 陽30.62,1房3廳1衛1室(含加蓋1室),1-2樓/7樓,"5,158",1
台北市大同區酒泉街,54.8年,店面,建坪 26.19,主建物21.2,5廳1衛1室(含加蓋3廳1衛1室),1樓/4樓,"2,680",0
台北市大同區民生西路,23.5年,透天/辦公,建坪 21.33,主建物16.34,1房2廳1衛(含加蓋1房1衛),1-2樓/2樓,"5,300",0
台北市大同區民權西路,5.3年,大樓,建坪 34.01,主 + 陽20.05,1廳2衛,9樓/14樓,"3,690",1
