路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市南港區港東街,19.2年,華廈,建坪 29.55,主 + 陽17.33,2房2廳1衛,6樓/7樓,"3,188",1
台北市南港區園區街,15.9年,店面/辦公/大樓,建坪 40.27,主 + 陽30.17,1廳1衛1室,1樓/15樓,"6,880",0
台北市南港區福德街,27.8年,大樓,建坪 38.58,主 + 陽23.45,3房2廳1衛,17樓/18樓,"2,988",0
台北市南港區重陽路,15.9年,店面,建坪 33.82,主建物25.34,1廳,1樓/15樓,"5,680",0
台北市南港區重陽路,15.9年,店面,建坪 29.02,主 + 陽21.75,1廳,1樓/15樓,"4,680",0
台北市南港區重陽路,15.9年,店面,建坪 34.05,主 + 陽25.51,1廳,1樓/15樓,"5,680",0
台北市南港區重陽路,15.9年,店面,建坪 32.94,主 + 陽24.68,1廳,1樓/15樓,"5,480",0
台北市南港區東新街,41.5年,華廈,建坪 48.09,主 + 陽36.54,4房2廳2衛,2樓/7樓,"3,430",0
台北市南港區八德路四段,30.2年,店面,建坪 15.39,主建物4.84,1廳,1樓/16樓,"1,550",0
台北市南港區松河街,16.3年,華廈,建坪 36.79,主 + 陽17.76,2房2廳1衛,3樓/7樓,"3,288",1
台北市南港區重陽路,9.9年,大樓,建坪 78.14,主 + 陽31.45,2房2廳2衛,4樓/15樓,"6,600",2
台北市南港區經貿二路,12.6年,大樓,建坪 33.18,主 + 陽17.66,2房2廳1衛,2樓/11樓,"3,480",1
台北市南港區經貿二路,17.7年,店面,建坪 28.72,主建物12.08,1廳1衛,1樓/12樓,"2,480",1
台北市南港區玉成街,42.8年,華廈,建坪 41.31,主 + 陽38.47,3房2廳3衛,4樓/7樓,"3,988",0
台北市南港區八德路四段,30.2年,辦公/大樓,建坪 8.74,主建物2.82,1廳,3樓/16樓,438,0
台北市南港區忠孝東路六段,41.3年,華廈,建坪 44.29,主 + 陽41.26,6房6衛,6樓/7樓,"4,980",0
台北市南港區研究院路二段,40.3年,公寓,建坪 31.66,主 + 陽28.92,3房2廳1.5衛,3樓/5樓,"1,680",0
台北市南港區重陽路,4.1年,大樓,建坪 24.77,主 + 陽15.51,2房1廳1衛,10樓/14樓,"2,888",0
台北市南港區興南街,預售,大樓,建坪 35.93,主+附 17.9,3房2廳2衛,5樓/22樓,"4,500",1
台北市南港區港東街,0.5年,華廈,建坪 48.11,主 + 陽25.73,3房2廳2衛,10樓/10樓,"5,730",1
台北市南港區大坑街,2.6年,大樓,建坪 16.5,主 + 陽9.23,2房2廳1衛(含加蓋1房1廳),10樓/12樓,"2,056",0
台北市南港區大坑街,2.6年,大樓,建坪 19.14,主 + 陽10.7,3房2廳1衛(含加蓋1房1廳),4樓/12樓,"2,206",0
台北市南港區大坑街,2.6年,大樓,建坪 20,主 + 陽11.19,3房2廳2衛(含加蓋2房1衛),12樓/12樓,"3,726",0
台北市南港區園區街,19.3年,店面/透天,建坪 62.44,主 + 陽35.99,5房2廳5衛,1-3樓/3樓,"6,600",1
台北市南港區大坑街,2.6年,大樓,建坪 25.63,主 + 陽13.63,3房1廳1衛(含加蓋1房),7樓/12樓,"2,938",0
台北市南港區重陽路,13.8年,店面,建坪 83.48,主 + 陽33.41,1廳1衛1室,1樓/12樓,"9,300",3
台北市南港區經貿二路,17.7年,華廈,建坪 81.64,主 + 陽40.93,4房2廳2衛,1樓/9樓,"8,888",2
